index	label	name	hemisphere	network	component
1	LH_Vis_1	7Networks_LH_Vis_1	L	Vis	cortex
2	LH_Vis_2	7Networks_LH_Vis_2	L	Vis	cortex
3	LH_Vis_3	7Networks_LH_Vis_3	L	Vis	cortex
4	LH_Vis_4	7Networks_LH_Vis_4	L	Vis	cortex
5	LH_Vis_5	7Networks_LH_Vis_5	L	Vis	cortex
6	LH_Vis_6	7Networks_LH_Vis_6	L	Vis	cortex
7	LH_Vis_7	7Networks_LH_Vis_7	L	Vis	cortex
8	LH_Vis_8	7Networks_LH_Vis_8	L	Vis	cortex
9	LH_Vis_9	7Networks_LH_Vis_9	L	Vis	cortex
10	LH_SomMot_1	7Networks_LH_SomMot_1	L	SomMot	cortex
11	LH_SomMot_2	7Networks_LH_SomMot_2	L	SomMot	cortex
12	LH_SomMot_3	7Networks_LH_SomMot_3	L	SomMot	cortex
13	LH_SomMot_4	7Networks_LH_SomMot_4	L	SomMot	cortex
14	LH_SomMot_5	7Networks_LH_SomMot_5	L	SomMot	cortex
15	LH_SomMot_6	7Networks_LH_SomMot_6	L	SomMot	cortex
16	LH_DorsAttn_Post_1	7Networks_LH_DorsAttn_Post_1	L	DorsAttn	cortex
17	LH_DorsAttn_Post_2	7Networks_LH_DorsAttn_Post_2	L	DorsAttn	cortex
18	LH_DorsAttn_Post_3	7Networks_LH_DorsAttn_Post_3	L	DorsAttn	cortex
19	LH_DorsAttn_Post_4	7Networks_LH_DorsAttn_Post_4	L	DorsAttn	cortex
20	LH_DorsAttn_Post_5	7Networks_LH_DorsAttn_Post_5	L	DorsAttn	cortex
21	LH_DorsAttn_Post_6	7Networks_LH_DorsAttn_Post_6	L	DorsAttn	cortex
22	LH_DorsAttn_PrCv_1	7Networks_LH_DorsAttn_PrCv_1	L	DorsAttn	cortex
23	LH_DorsAttn_FEF_1	7Networks_LH_DorsAttn_FEF_1	L	DorsAttn	cortex
24	LH_SalVentAttn_ParOper_1	7Networks_LH_SalVentAttn_ParOper_1	L	SalVentAttn	cortex
25	LH_SalVentAttn_FrOperIns_1	7Networks_LH_SalVentAttn_FrOperIns_1	L	SalVentAttn	cortex
26	LH_SalVentAttn_FrOperIns_2	7Networks_LH_SalVentAttn_FrOperIns_2	L	SalVentAttn	cortex
27	LH_SalVentAttn_PFCl_1	7Networks_LH_SalVentAttn_PFCl_1	L	SalVentAttn	cortex
28	LH_SalVentAttn_Med_1	7Networks_LH_SalVentAttn_Med_1	L	SalVentAttn	cortex
29	LH_SalVentAttn_Med_2	7Networks_LH_SalVentAttn_Med_2	L	SalVentAttn	cortex
30	LH_SalVentAttn_Med_3	7Networks_LH_SalVentAttn_Med_3	L	SalVentAttn	cortex
31	LH_Limbic_OFC_1	7Networks_LH_Limbic_OFC_1	L	Limbic	cortex
32	LH_Limbic_TempPole_1	7Networks_LH_Limbic_TempPole_1	L	Limbic	cortex
33	LH_Limbic_TempPole_2	7Networks_LH_Limbic_TempPole_2	L	Limbic	cortex
34	LH_Cont_Par_1	7Networks_LH_Cont_Par_1	L	Cont	cortex
35	LH_Cont_PFCl_1	7Networks_LH_Cont_PFCl_1	L	Cont	cortex
36	LH_Cont_pCun_1	7Networks_LH_Cont_pCun_1	L	Cont	cortex
37	LH_Cont_Cing_1	7Networks_LH_Cont_Cing_1	L	Cont	cortex
38	LH_Default_Temp_1	7Networks_LH_Default_Temp_1	L	Default	cortex
39	LH_Default_Temp_2	7Networks_LH_Default_Temp_2	L	Default	cortex
40	LH_Default_Par_1	7Networks_LH_Default_Par_1	L	Default	cortex
41	LH_Default_Par_2	7Networks_LH_Default_Par_2	L	Default	cortex
42	LH_Default_PFC_1	7Networks_LH_Default_PFC_1	L	Default	cortex
43	LH_Default_PFC_2	7Networks_LH_Default_PFC_2	L	Default	cortex
44	LH_Default_PFC_3	7Networks_LH_Default_PFC_3	L	Default	cortex
45	LH_Default_PFC_4	7Networks_LH_Default_PFC_4	L	Default	cortex
46	LH_Default_PFC_5	7Networks_LH_Default_PFC_5	L	Default	cortex
47	LH_Default_PFC_6	7Networks_LH_Default_PFC_6	L	Default	cortex
48	LH_Default_PFC_7	7Networks_LH_Default_PFC_7	L	Default	cortex
49	LH_Default_pCunPCC_1	7Networks_LH_Default_pCunPCC_1	L	Default	cortex
50	LH_Default_pCunPCC_2	7Networks_LH_Default_pCunPCC_2	L	Default	cortex
51	RH_Vis_1	7Networks_RH_Vis_1	R	Vis	cortex
52	RH_Vis_2	7Networks_RH_Vis_2	R	Vis	cortex
53	RH_Vis_3	7Networks_RH_Vis_3	R	Vis	cortex
54	RH_Vis_4	7Networks_RH_Vis_4	R	Vis	cortex
55	RH_Vis_5	7Networks_RH_Vis_5	R	Vis	cortex
56	RH_Vis_6	7Networks_RH_Vis_6	R	Vis	cortex
57	RH_Vis_7	7Networks_RH_Vis_7	R	Vis	cortex
58	RH_Vis_8	7Networks_RH_Vis_8	R	Vis	cortex
59	RH_SomMot_1	7Networks_RH_SomMot_1	R	SomMot	cortex
60	RH_SomMot_2	7Networks_RH_SomMot_2	R	SomMot	cortex
61	RH_SomMot_3	7Networks_RH_SomMot_3	R	SomMot	cortex
62	RH_SomMot_4	7Networks_RH_SomMot_4	R	SomMot	cortex
63	RH_SomMot_5	7Networks_RH_SomMot_5	R	SomMot	cortex
64	RH_SomMot_6	7Networks_RH_SomMot_6	R	SomMot	cortex
65	RH_SomMot_7	7Networks_RH_SomMot_7	R	SomMot	cortex
66	RH_SomMot_8	7Networks_RH_SomMot_8	R	SomMot	cortex
67	RH_DorsAttn_Post_1	7Networks_RH_DorsAttn_Post_1	R	DorsAttn	cortex
68	RH_DorsAttn_Post_2	7Networks_RH_DorsAttn_Post_2	R	DorsAttn	cortex
69	RH_DorsAttn_Post_3	7Networks_RH_DorsAttn_Post_3	R	DorsAttn	cortex
70	RH_DorsAttn_Post_4	7Networks_RH_DorsAttn_Post_4	R	DorsAttn	cortex
71	RH_DorsAttn_Post_5	7Networks_RH_DorsAttn_Post_5	R	DorsAttn	cortex
72	RH_DorsAttn_PrCv_1	7Networks_RH_DorsAttn_PrCv_1	R	DorsAttn	cortex
73	RH_DorsAttn_FEF_1	7Networks_RH_DorsAttn_FEF_1	R	DorsAttn	cortex
74	RH_SalVentAttn_TempOccPar_1	7Networks_RH_SalVentAttn_TempOccPar_1	R	SalVentAttn	cortex
75	RH_SalVentAttn_TempOccPar_2	7Networks_RH_SalVentAttn_TempOccPar_2	R	SalVentAttn	cortex
76	RH_SalVentAttn_FrOperIns_1	7Networks_RH_SalVentAttn_FrOperIns_1	R	SalVentAttn	cortex
77	RH_SalVentAttn_Med_1	7Networks_RH_SalVentAttn_Med_1	R	SalVentAttn	cortex
78	RH_SalVentAttn_Med_2	7Networks_RH_SalVentAttn_Med_2	R	SalVentAttn	cortex
79	RH_Limbic_OFC_1	7Networks_RH_Limbic_OFC_1	R	Limbic	cortex
80	RH_Limbic_TempPole_1	7Networks_RH_Limbic_TempPole_1	R	Limbic	cortex
81	RH_Cont_Par_1	7Networks_RH_Cont_Par_1	R	Cont	cortex
82	RH_Cont_Par_2	7Networks_RH_Cont_Par_2	R	Cont	cortex
83	RH_Cont_PFCl_1	7Networks_RH_Cont_PFCl_1	R	Cont	cortex
84	RH_Cont_PFCl_2	7Networks_RH_Cont_PFCl_2	R	Cont	cortex
85	RH_Cont_PFCl_3	7Networks_RH_Cont_PFCl_3	R	Cont	cortex
86	RH_Cont_PFCl_4	7Networks_RH_Cont_PFCl_4	R	Cont	cortex
87	RH_Cont_Cing_1	7Networks_RH_Cont_Cing_1	R	Cont	cortex
88	RH_Cont_PFCmp_1	7Networks_RH_Cont_PFCmp_1	R	Cont	cortex
89	RH_Cont_pCun_1	7Networks_RH_Cont_pCun_1	R	Cont	cortex
90	RH_Default_Par_1	7Networks_RH_Default_Par_1	R	Default	cortex
91	RH_Default_Temp_1	7Networks_RH_Default_Temp_1	R	Default	cortex
92	RH_Default_Temp_2	7Networks_RH_Default_Temp_2	R	Default	cortex
93	RH_Default_Temp_3	7Networks_RH_Default_Temp_3	R	Default	cortex
94	RH_Default_PFCv_1	7Networks_RH_Default_PFCv_1	R	Default	cortex
95	RH_Default_PFCv_2	7Networks_RH_Default_PFCv_2	R	Default	cortex
96	RH_Default_PFCdPFCm_1	7Networks_RH_Default_PFCdPFCm_1	R	Default	cortex
97	RH_Default_PFCdPFCm_2	7Networks_RH_Default_PFCdPFCm_2	R	Default	cortex
98	RH_Default_PFCdPFCm_3	7Networks_RH_Default_PFCdPFCm_3	R	Default	cortex
99	RH_Default_pCunPCC_1	7Networks_RH_Default_pCunPCC_1	R	Default	cortex
100	RH_Default_pCunPCC_2	7Networks_RH_Default_pCunPCC_2	R	Default	cortex
101	aHIP-rh	aHIP-rh	R	subcortex	subcortex
102	pHIP-rh	pHIP-rh	R	subcortex	subcortex
103	lAMY-rh	lAMY-rh	R	subcortex	subcortex
104	mAMY-rh	mAMY-rh	R	subcortex	subcortex
105	THA-DP-rh	THA-DP-rh	R	subcortex	subcortex
106	THA-VP-rh	THA-VP-rh	R	subcortex	subcortex
107	THA-VA-rh	THA-VA-rh	R	subcortex	subcortex
108	THA-DA-rh	THA-DA-rh	R	subcortex	subcortex
109	NAc-shell-rh	NAc-shell-rh	R	subcortex	subcortex
110	NAc-core-rh	NAc-core-rh	R	subcortex	subcortex
111	pGP-rh	pGP-rh	R	subcortex	subcortex
112	aGP-rh	aGP-rh	R	subcortex	subcortex
113	aPUT-rh	aPUT-rh	R	subcortex	subcortex
